movie_key,name,year,imdb_id
1,Toy Story (1995),01-Jan-1995,tt0114709
2,GoldenEye (1995),01-Jan-1995,tt0113189
3,Four Rooms (1995),01-Jan-1995,tt0113101
4,Get Shorty (1995),01-Jan-1995,tt0113161
5,Copycat (1995),01-Jan-1995,tt0112722
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),01-Jan-1995,tt0115012
7,Twelve Monkeys (1995),01-Jan-1995,tt0114746
8,Babe (1995),01-Jan-1995,tt0112431
9,Dead Man Walking (1995),01-Jan-1995,tt0112818
10,Richard III (1995),22-Jan-1996,tt0114279
11,Seven (Se7en) (1995),01-Jan-1995,tt0114369
12,"Usual Suspects, The (1995)",14-Aug-1995,tt0114814
13,Mighty Aphrodite (1995),30-Oct-1995,tt0113819
14,"Postino, Il (1994)",01-Jan-1994,tt0110877
15,Mr. Holland's Opus (1995),29-Jan-1996,tt0113862
16,French Twist (Gazon maudit) (1995),01-Jan-1995,tt0113149
17,From Dusk Till Dawn (1996),05-Feb-1996,tt0116367
18,"White Balloon, The (1995)",01-Jan-1995,tt0112445
19,Antonia's Line (1995),01-Jan-1995,tt0112379
20,Angels and Insects (1995),01-Jan-1995,tt0112365
21,Muppet Treasure Island (1996),16-Feb-1996,tt0117110
22,Braveheart (1995),16-Feb-1996,tt0112573
23,Taxi Driver (1976),16-Feb-1996,tt0075314
24,Rumble in the Bronx (1995),23-Feb-1996,tt0113326
25,"Birdcage, The (1996)",08-Mar-1996,tt0115685
26,"Brothers McMullen, The (1995)",01-Jan-1995,tt0112585
27,Bad Boys (1995),01-Jan-1995,tt0112442
28,Apollo 13 (1995),01-Jan-1995,tt0112384
29,Batman Forever (1995),01-Jan-1995,tt0112462
30,Belle de jour (1967),01-Jan-1967,tt0061395
31,Crimson Tide (1995),01-Jan-1995,tt0112740
32,Crumb (1994),01-Jan-1994,tt0109508
33,Desperado (1995),01-Jan-1995,tt0112851
34,"Doom Generation, The (1995)",01-Jan-1995,tt0112887
35,Free Willy 2: The Adventure Home (1995),01-Jan-1995,tt0113114
36,Mad Love (1995),01-Jan-1995,tt0113729
37,Nadja (1994),01-Jan-1994,tt0110620
38,"Net, The (1995)",01-Jan-1995,tt0113957
39,Strange Days (1995),01-Jan-1995,tt0114558
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",01-Jan-1995,tt0114682
41,Billy Madison (1995),01-Jan-1995,tt0112508
42,Clerks (1994),01-Jan-1994,tt0109445
43,Disclosure (1994),01-Jan-1994,tt0109635
44,Dolores Claiborne (1994),01-Jan-1994,tt0109642
45,Eat Drink Man Woman (1994),01-Jan-1994,tt0111797
46,Exotica (1994),01-Jan-1994,tt0109759
47,Ed Wood (1994),01-Jan-1994,tt0109707
48,Hoop Dreams (1994),01-Jan-1994,tt0110057
49,I.Q. (1994),01-Jan-1994,tt0110099
50,Star Wars (1977),01-Jan-1977,tt0076759
51,Legends of the Fall (1994),01-Jan-1994,tt0110322
52,"Madness of King George, The (1994)",01-Jan-1994,tt0110428
53,Natural Born Killers (1994),01-Jan-1994,tt0110632
54,Outbreak (1995),01-Jan-1995,tt0114069
55,"Professional, The (1994)",01-Jan-1994,tt0110413
56,Pulp Fiction (1994),01-Jan-1994,tt0110912
57,Priest (1994),01-Jan-1994,tt0110889
58,Quiz Show (1994),01-Jan-1994,tt0110932
59,Three Colors: Red (1994),01-Jan-1994,tt0111495
60,Three Colors: Blue (1993),01-Jan-1993,tt0108394
61,Three Colors: White (1994),01-Jan-1994,tt0111507
62,Stargate (1994),01-Jan-1994,tt0111282
63,"Santa Clause, The (1994)",01-Jan-1994,tt0111070
64,"Shawshank Redemption, The (1994)",01-Jan-1994,tt0111161
65,What's Eating Gilbert Grape (1993),01-Jan-1993,tt0108550
66,While You Were Sleeping (1995),01-Jan-1995,tt0114924
67,Ace Ventura: Pet Detective (1994),01-Jan-1994,tt0109040
68,"Crow, The (1994)",01-Jan-1994,tt0109506
69,Forrest Gump (1994),01-Jan-1994,tt0109830
70,Four Weddings and a Funeral (1994),01-Jan-1994,tt0109831
71,"Lion King, The (1994)",01-Jan-1994,tt0110357
72,"Mask, The (1994)",01-Jan-1994,tt0110475
73,Maverick (1994),01-Jan-1994,tt0110478
74,Faster Pussycat! Kill! Kill! (1965),01-Jan-1965,tt0059170
75,Brother Minister: The Assassination of Malcolm X (1994),01-Jan-1994,tt0109339
76,Carlito's Way (1993),01-Jan-1993,tt0106519
77,"Firm, The (1993)",01-Jan-1993,tt0106918
78,Free Willy (1993),01-Jan-1993,tt0106965
79,"Fugitive, The (1993)",01-Jan-1993,tt0106977
80,Hot Shots! Part Deux (1993),01-Jan-1993,tt0107144
81,"Hudsucker Proxy, The (1994)",01-Jan-1994,tt0110074
82,Jurassic Park (1993),01-Jan-1993,tt0107290
83,Much Ado About Nothing (1993),01-Jan-1993,tt0107616
84,Robert A. Heinlein's The Puppet Masters (1994),01-Jan-1994,tt0111003
85,"Ref, The (1994)",01-Jan-1994,tt0110955
86,"Remains of the Day, The (1993)",01-Jan-1993,tt0107943
87,Searching for Bobby Fischer (1993),01-Jan-1993,tt0108065
88,Sleepless in Seattle (1993),01-Jan-1993,tt0108160
89,Blade Runner (1982),01-Jan-1982,tt0083658
90,So I Married an Axe Murderer (1993),01-Jan-1993,tt0108174
91,"Nightmare Before Christmas, The (1993)",01-Jan-1993,tt0107688
92,True Romance (1993),01-Jan-1993,tt0108399
93,Welcome to the Dollhouse (1995),24-May-1996,tt0114906
94,Home Alone (1990),01-Jan-1990,tt0099785
95,Aladdin (1992),01-Jan-1992,tt0103639
96,Terminator 2: Judgment Day (1991),01-Jan-1991,tt0103064
97,Dances with Wolves (1990),01-Jan-1990,tt0099348
98,"Silence of the Lambs, The (1991)",01-Jan-1991,tt0102926
99,Snow White and the Seven Dwarfs (1937),01-Jan-1937,tt0029583
100,Fargo (1996),14-Feb-1997,tt0116282
101,Heavy Metal (1981),08-Mar-1981,tt0082509
102,"Aristocats, The (1970)",01-Jan-1970,tt0065421
103,All Dogs Go to Heaven 2 (1996),29-Mar-1996,tt0115509
104,Theodore Rex (1995),29-Mar-1996,tt0114658
105,Sgt. Bilko (1996),29-Mar-1996,tt0117608
106,Diabolique (1996),01-Jan-1996,tt0116095
107,Moll Flanders (1996),14-Jun-1996,tt0117071
108,Kids in the Hall: Brain Candy (1996),12-Apr-1996,tt0116768
109,Mystery Science Theater 3000: The Movie (1996),19-Apr-1996,tt0117128
110,Operation Dumbo Drop (1995),01-Jan-1995,tt0114048
111,"Truth About Cats & Dogs, The (1996)",26-Apr-1996,tt0117979
112,Flipper (1996),10-May-1996,tt0116322
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",19-Apr-1996,tt0113362
114,Wallace & Gromit: The Best of Aardman Animation (1996),05-Apr-1996,tt0118114
115,"Haunted World of Edward D. Wood Jr., The (1995)",26-Apr-1996,tt0113270
116,Cold Comfort Farm (1995),23-Apr-1996,tt0112701
117,"Rock, The (1996)",07-Jun-1996,tt0117500
118,Twister (1996),10-May-1996,tt0117998
119,Maya Lin: A Strong Clear Vision (1994),01-Jan-1994,tt0110480
120,Striptease (1996),28-Jun-1996,tt0117765
121,Independence Day (ID4) (1996),03-Jul-1996,tt0116629
122,"Cable Guy, The (1996)",14-Jun-1996,tt0115798
123,"Frighteners, The (1996)",19-Jul-1996,tt0116365
124,Lone Star (1996),21-Jun-1996,tt0116905
125,Phenomenon (1996),29-Jun-1996,tt0117333
126,"Spitfire Grill, The (1996)",06-Sep-1996,tt0117718
127,"Godfather, The (1972)",01-Jan-1972,tt0068646
128,Supercop (1992),26-Jul-1996,tt0104558
129,Bound (1996),04-Oct-1996,tt0115736
130,Kansas City (1996),16-Aug-1996,tt0116745
131,Breakfast at Tiffany's (1961),01-Jan-1961,tt0054698
132,"Wizard of Oz, The (1939)",01-Jan-1939,tt0032138
133,Gone with the Wind (1939),01-Jan-1939,tt0031381
134,Citizen Kane (1941),01-Jan-1941,tt0033467
135,2001: A Space Odyssey (1968),01-Jan-1968,tt0062622
136,Mr. Smith Goes to Washington (1939),01-Jan-1939,tt0031679
137,Big Night (1996),20-Sep-1996,tt0115678
138,D3: The Mighty Ducks (1996),04-Oct-1996,tt0116000
139,"Love Bug, The (1969)",01-Jan-1969,tt0064603
140,Homeward Bound: The Incredible Journey (1993),01-Jan-1993,tt0107131
141,"20,000 Leagues Under the Sea (1954)",01-Jan-1954,tt0046672
142,Bedknobs and Broomsticks (1971),01-Jan-1971,tt0066817
143,"Sound of Music, The (1965)",01-Jan-1965,tt0059742
144,Die Hard (1988),01-Jan-1988,tt0095016
145,"Lawnmower Man, The (1992)",01-Jan-1992,tt0104692
146,Unhook the Stars (1996),30-Oct-1996,tt0118044
147,"Long Kiss Goodnight, The (1996)",05-Oct-1996,tt0116908
148,"Ghost and the Darkness, The (1996)",11-Oct-1996,tt0116409
149,Jude (1996),01-Nov-1996,tt0116722
150,Swingers (1996),18-Oct-1996,tt0117802
151,Willy Wonka and the Chocolate Factory (1971),01-Jan-1971,tt0067992
152,Sleeper (1973),01-Jan-1973,tt0070707
153,"Fish Called Wanda, A (1988)",01-Jan-1988,tt0095159
154,Monty Python's Life of Brian (1979),01-Jan-1979,tt0079470
155,Dirty Dancing (1987),01-Jan-1987,tt0092890
156,Reservoir Dogs (1992),01-Jan-1992,tt0105236
157,Platoon (1986),01-Jan-1986,tt0091763
158,Weekend at Bernie's (1989),01-Jan-1989,tt0098627
159,Basic Instinct (1992),01-Jan-1992,tt0103772
160,Glengarry Glen Ross (1992),01-Jan-1992,tt0104348
161,Top Gun (1986),01-Jan-1986,tt0092099
162,On Golden Pond (1981),01-Jan-1981,tt0082846
163,"Return of the Pink Panther, The (1974)",01-Jan-1974,tt0072081
164,"Abyss, The (1989)",01-Jan-1989,tt0096754
165,Jean de Florette (1986),01-Jan-1986,tt0091288
166,Manon of the Spring (Manon des sources) (1986),01-Jan-1986,tt0091480
167,Private Benjamin (1980),01-Jan-1980,tt0081375
168,Monty Python and the Holy Grail (1974),01-Jan-1974,tt0071853
169,"Wrong Trousers, The (1993)",01-Jan-1993,tt0108598
170,Cinema Paradiso (1988),01-Jan-1988,tt0095765
171,Delicatessen (1991),01-Jan-1991,tt0101700
172,"Empire Strikes Back, The (1980)",01-Jan-1980,tt0080684
173,"Princess Bride, The (1987)",01-Jan-1987,tt0093779
174,Raiders of the Lost Ark (1981),01-Jan-1981,tt0082971
175,Brazil (1985),01-Jan-1985,tt0088846
176,Aliens (1986),01-Jan-1986,tt0090605
177,"Good, The Bad and The Ugly, The (1966)",01-Jan-1966,tt0060196
178,12 Angry Men (1957),01-Jan-1957,tt0050083
179,"Clockwork Orange, A (1971)",01-Jan-1971,tt0066921
180,Apocalypse Now (1979),01-Jan-1979,tt0078788
181,Return of the Jedi (1983),14-Mar-1997,tt0086190
182,GoodFellas (1990),01-Jan-1990,tt0099685
183,Alien (1979),01-Jan-1979,tt0078748
184,Army of Darkness (1993),01-Jan-1993,tt0106308
185,Psycho (1960),01-Jan-1960,tt0054215
186,"Blues Brothers, The (1980)",01-Jan-1980,tt0080455
187,"Godfather: Part II, The (1974)",01-Jan-1974,tt0071562
188,Full Metal Jacket (1987),01-Jan-1987,tt0093058
189,"Grand Day Out, A (1992)",01-Jan-1992,tt0104361
190,Henry V (1989),01-Jan-1989,tt0097499
191,Amadeus (1984),01-Jan-1984,tt0086879
192,Raging Bull (1980),01-Jan-1980,tt0081398
193,"Right Stuff, The (1983)",01-Jan-1983,tt0086197
194,"Sting, The (1973)",01-Jan-1973,tt0070735
195,"Terminator, The (1984)",01-Jan-1984,tt0088247
196,Dead Poets Society (1989),01-Jan-1989,tt0097165
197,"Graduate, The (1967)",01-Jan-1967,tt0061722
198,Nikita (La Femme Nikita) (1990),01-Jan-1990,tt0100263
199,"Bridge on the River Kwai, The (1957)",01-Jan-1957,tt0050212
200,"Shining, The (1980)",01-Jan-1980,tt0081505
201,Evil Dead II (1987),01-Jan-1987,tt0092991
202,Groundhog Day (1993),01-Jan-1993,tt0107048
203,Unforgiven (1992),01-Jan-1992,tt0105695
204,Back to the Future (1985),01-Jan-1985,tt0088763
205,Patton (1970),01-Jan-1970,tt0066206
206,Akira (1988),01-Jan-1988,tt0094625
207,Cyrano de Bergerac (1990),01-Jan-1990,tt0099334
208,Young Frankenstein (1974),01-Jan-1974,tt0072431
209,This Is Spinal Tap (1984),01-Jan-1984,tt0088258
210,Indiana Jones and the Last Crusade (1989),01-Jan-1989,tt0097576
211,M*A*S*H (1970),01-Jan-1970,tt0066026
212,"Unbearable Lightness of Being, The (1988)",01-Jan-1988,tt0096332
213,"Room with a View, A (1986)",01-Jan-1986,tt0091867
214,Pink Floyd - The Wall (1982),01-Jan-1982,tt0084503
215,Field of Dreams (1989),01-Jan-1989,tt0097351
216,When Harry Met Sally... (1989),01-Jan-1989,tt0098635
217,Bram Stoker's Dracula (1992),01-Jan-1992,tt0103874
218,Cape Fear (1991),01-Jan-1991,tt0101540
219,"Nightmare on Elm Street, A (1984)",01-Jan-1984,tt0087800
220,"Mirror Has Two Faces, The (1996)",15-Nov-1996,tt0117057
221,Breaking the Waves (1996),15-Nov-1996,tt0115751
222,Star Trek: First Contact (1996),22-Nov-1996,tt0117731
223,Sling Blade (1996),22-Nov-1996,tt0117666
224,Ridicule (1996),27-Nov-1996,tt0117477
225,101 Dalmatians (1996),27-Nov-1996,tt0115433
226,Die Hard 2 (1990),01-Jan-1990,tt0099423
227,Star Trek VI: The Undiscovered Country (1991),01-Jan-1991,tt0102975
228,Star Trek: The Wrath of Khan (1982),01-Jan-1982,tt0084726
229,Star Trek III: The Search for Spock (1984),01-Jan-1984,tt0088170
230,Star Trek IV: The Voyage Home (1986),01-Jan-1986,tt0092007
231,Batman Returns (1992),01-Jan-1992,tt0103776
232,Young Guns (1988),01-Jan-1988,tt0096487
233,Under Siege (1992),01-Jan-1992,tt0105690
234,Jaws (1975),01-Jan-1975,tt0073195
235,Mars Attacks! (1996),13-Dec-1996,tt0116996
236,Citizen Ruth (1996),13-Dec-1996,tt0115906
237,Jerry Maguire (1996),13-Dec-1996,tt0116695
238,Raising Arizona (1987),01-Jan-1987,tt0093822
239,Sneakers (1992),01-Jan-1992,tt0105435
240,Beavis and Butt-head Do America (1996),20-Dec-1996,tt0115641
241,"Last of the Mohicans, The (1992)",01-Jan-1992,tt0104691
242,Kolya (1996),24-Jan-1997,tt0116790
243,Jungle2Jungle (1997),07-Mar-1997,tt0119432
244,Smilla's Sense of Snow (1997),14-Mar-1997,tt0120152
245,"Devil's Own, The (1997)",26-Mar-1997,tt0118972
246,Chasing Amy (1997),01-Jan-1997,tt0118842
247,Turbo: A Power Rangers Movie (1997),28-Mar-1997,tt0120389
248,Grosse Pointe Blank (1997),11-Apr-1997,tt0119229
249,Austin Powers: International Man of Mystery (1997),02-May-1997,tt0118655
250,"Fifth Element, The (1997)",09-May-1997,tt0119116
251,Shall We Dance? (1996),11-Jul-1997,tt0117615
252,"Lost World: Jurassic Park, The (1997)",23-May-1997,tt0119567
253,"Pillow Book, The (1995)",13-Jun-1997,tt0114134
254,Batman & Robin (1997),20-Jun-1997,tt0118688
255,My Best Friend's Wedding (1997),20-Jun-1997,tt0119738
256,When the Cats Away (Chacun cherche son chat) (1996),20-Jun-1997,tt0115856
257,Men in Black (1997),04-Jul-1997,tt0119654
258,Contact (1997),11-Jul-1997,tt0118884
259,George of the Jungle (1997),01-Jan-1997,tt0119190
260,Event Horizon (1997),01-Jan-1997,tt0119081
261,Air Bud (1997),01-Aug-1997,tt0118570
262,In the Company of Men (1997),01-Aug-1997,tt0119361
263,Steel (1997),15-Aug-1997,tt0120207
264,Mimic (1997),22-Aug-1997,tt0119675
265,"Hunt for Red October, The (1990)",01-Jan-1990,tt0099810
266,Kull the Conqueror (1997),29-Aug-1997,tt0119484
267,unknown,,
268,Chasing Amy (1997),01-Jan-1997,tt0118842
269,"Full Monty, The (1997)",01-Jan-1997,tt0119164
270,Gattaca (1997),01-Jan-1997,tt0119177
271,Starship Troopers (1997),01-Jan-1997,tt0120201
272,Good Will Hunting (1997),01-Jan-1997,tt0119217
273,Heat (1995),01-Jan-1995,tt0113277
274,Sabrina (1995),01-Jan-1995,tt0114319
275,Sense and Sensibility (1995),01-Jan-1995,tt0114388
276,Leaving Las Vegas (1995),01-Jan-1995,tt0113627
277,Restoration (1995),01-Jan-1995,tt0114272
278,Bed of Roses (1996),01-Jan-1996,tt0115644
279,Once Upon a Time... When We Were Colored (1995),01-Jan-1995,tt0114039
280,Up Close and Personal (1996),01-Mar-1996,tt7343706
281,"River Wild, The (1994)",01-Jan-1994,tt0110997
282,"Time to Kill, A (1996)",13-Jul-1996,tt0117913
283,Emma (1996),02-Aug-1996,tt0116191
284,Tin Cup (1996),16-Aug-1996,tt0117918
285,Secrets & Lies (1996),04-Oct-1996,tt0117589
286,"English Patient, The (1996)",15-Nov-1996,tt0116209
287,Marvin's Room (1996),18-Dec-1996,tt0116999
288,Scream (1996),20-Dec-1996,tt0117571
289,Evita (1996),25-Dec-1996,tt0116250
290,Fierce Creatures (1997),10-Jan-1997,tt0119115
291,Absolute Power (1997),14-Feb-1997,tt0118548
292,Rosewood (1997),21-Feb-1997,tt0120036
293,Donnie Brasco (1997),28-Feb-1997,tt0119008
294,Liar Liar (1997),21-Mar-1997,tt0119528
295,Breakdown (1997),02-May-1997,tt0118771
296,"Promesse, La (1996)",16-May-1997,tt0117398
297,Ulee's Gold (1997),01-Jan-1997,tt0120402
298,Face/Off (1997),27-Jun-1997,tt0119094
299,Hoodlum (1997),22-Aug-1997,tt0119311
300,Air Force One (1997),01-Jan-1997,tt0118571
301,In & Out (1997),19-Sep-1997,tt0119360
302,L.A. Confidential (1997),01-Jan-1997,tt0119488
303,Ulee's Gold (1997),01-Jan-1997,tt0120402
304,Fly Away Home (1996),13-Sep-1996,tt0116329
305,"Ice Storm, The (1997)",01-Jan-1997,tt0119349
306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",01-Jan-1997,tt0119280
307,"Devil's Advocate, The (1997)",01-Jan-1997,tt0118971
308,FairyTale: A True Story (1997),01-Jan-1997,tt0119095
309,Deceiver (1997),01-Jan-1997,tt0119527
310,"Rainmaker, The (1997)",01-Jan-1997,tt0119978
311,"Wings of the Dove, The (1997)",01-Jan-1997,tt0120520
312,Midnight in the Garden of Good and Evil (1997),01-Jan-1997,tt0119668
313,Titanic (1997),01-Jan-1997,tt0120338
314,3 Ninjas: High Noon At Mega Mountain (1998),01-Jan-1997,tt0118539
315,Apt Pupil (1998),23-Oct-1998,tt0118636
316,As Good As It Gets (1997),23-Dec-1997,tt0119822
317,In the Name of the Father (1993),01-Jan-1993,tt0107207
318,Schindler's List (1993),01-Jan-1993,tt0108052
319,Everyone Says I Love You (1996),06-Dec-1996,tt0116242
320,Paradise Lost: The Child Murders at Robin Hood Hills (1996),06-Dec-1996,tt0117293
321,Mother (1996),25-Dec-1996,tt0117091
322,Murder at 1600 (1997),18-Apr-1997,tt0119731
323,Dante's Peak (1997),07-Feb-1997,tt0118928
324,Lost Highway (1997),21-Feb-1997,tt0116922
325,Crash (1996),21-Mar-1997,tt0115964
326,G.I. Jane (1997),01-Jan-1997,tt0119173
327,Cop Land (1997),01-Jan-1997,tt0118887
328,Conspiracy Theory (1997),08-Aug-1997,tt0118883
329,Desperate Measures (1998),30-Jan-1998,tt0118966
330,187 (1997),01-Jan-1997,tt0118531
331,"Edge, The (1997)",26-Sep-1997,tt0119051
332,Kiss the Girls (1997),01-Jan-1997,tt0119468
333,"Game, The (1997)",01-Jan-1997,tt0119174
334,U Turn (1997),01-Jan-1997,tt0120399
335,How to Be a Player (1997),01-Jan-1997,tt0119326
336,Playing God (1997),01-Jan-1997,tt0119906
337,"House of Yes, The (1997)",01-Jan-1997,tt0119324
338,Bean (1997),01-Jan-1997,tt0118689
339,Mad City (1997),01-Jan-1997,tt0119592
340,Boogie Nights (1997),01-Jan-1997,tt0118749
341,Critical Care (1997),01-Jan-1997,tt0118901
342,"Man Who Knew Too Little, The (1997)",01-Jan-1997,tt0120483
343,Alien: Resurrection (1997),01-Jan-1997,tt0118583
344,"Apostle, The (1997)",18-Dec-1997,tt0118632
345,Deconstructing Harry (1997),01-Jan-1997,tt0118954
346,Jackie Brown (1997),01-Jan-1997,tt0119396
347,Wag the Dog (1997),09-Jan-1998,tt0120885
348,Desperate Measures (1998),30-Jan-1998,tt0118966
349,Hard Rain (1998),16-Jan-1998,tt0120696
350,Fallen (1998),16-Jan-1998,tt0119099
351,"Prophecy II, The (1998)",16-Jan-1998,tt0118643
352,Spice World (1997),01-Jan-1997,tt0120185
353,Deep Rising (1998),30-Jan-1998,tt0118956
354,"Wedding Singer, The (1998)",13-Feb-1998,tt0120888
355,Sphere (1998),13-Feb-1998,tt0120184
356,"Client, The (1994)",01-Jan-1994,tt0109446
357,One Flew Over the Cuckoo's Nest (1975),01-Jan-1975,tt0073486
358,Spawn (1997),01-Aug-1997,tt0120177
359,"Assignment, The (1997)",01-Jan-1997,tt0118647
360,Wonderland (1997),01-Jan-1997,tt0120529
361,Incognito (1997),01-Jan-1997,tt0119365
362,Blues Brothers 2000 (1998),06-Feb-1998,tt0118747
363,Sudden Death (1995),01-Jan-1995,tt0114576
364,Ace Ventura: When Nature Calls (1995),01-Jan-1995,tt0112281
365,Powder (1995),01-Jan-1995,tt0114168
366,Dangerous Minds (1995),01-Jan-1995,tt0112792
367,Clueless (1995),01-Jan-1995,tt0112697
368,Bio-Dome (1996),01-Jan-1996,tt0115683
369,Black Sheep (1996),02-Feb-1996,tt0115697
370,Mary Reilly (1996),23-Feb-1996,tt0117002
371,"Bridges of Madison County, The (1995)",09-Feb-1996,tt0112579
372,Jeffrey (1995),01-Jan-1995,tt0113464
373,Judge Dredd (1995),01-Jan-1995,tt0113492
374,Mighty Morphin Power Rangers: The Movie (1995),01-Jan-1995,tt0113820
375,Showgirls (1995),01-Jan-1995,tt0114436
376,Houseguest (1994),01-Jan-1994,tt0110066
377,Heavyweights (1994),01-Jan-1994,tt0110006
378,Miracle on 34th Street (1994),01-Jan-1994,tt0110527
379,Tales From the Crypt Presents: Demon Knight (1995),01-Jan-1995,tt0114608
380,Star Trek: Generations (1994),01-Jan-1994,tt0111280
381,Muriel's Wedding (1994),01-Jan-1994,tt0110598
382,"Adventures of Priscilla, Queen of the Desert, The (1994)",01-Jan-1994,tt0109045
383,"Flintstones, The (1994)",01-Jan-1994,tt0109813
384,Naked Gun 33 1/3: The Final Insult (1994),01-Jan-1994,tt0110622
385,True Lies (1994),01-Jan-1994,tt0111503
386,Addams Family Values (1993),01-Jan-1993,tt0106220
387,"Age of Innocence, The (1993)",01-Jan-1993,tt0106226
388,Beverly Hills Cop III (1994),01-Jan-1994,tt0109254
389,Black Beauty (1994),01-Jan-1994,tt0109279
390,Fear of a Black Hat (1993),01-Jan-1993,tt0106880
391,Last Action Hero (1993),01-Jan-1993,tt0107362
392,"Man Without a Face, The (1993)",01-Jan-1993,tt0107501
393,Mrs. Doubtfire (1993),01-Jan-1993,tt0107614
394,Radioland Murders (1994),01-Jan-1994,tt0110939
395,Robin Hood: Men in Tights (1993),01-Jan-1993,tt0107977
396,Serial Mom (1994),01-Jan-1994,tt0111127
397,Striking Distance (1993),01-Jan-1993,tt0108238
398,Super Mario Bros. (1993),01-Jan-1993,tt0108255
399,"Three Musketeers, The (1993)",01-Jan-1993,tt0108333
400,"Little Rascals, The (1994)",01-Jan-1994,tt0110366
401,"Brady Bunch Movie, The (1995)",01-Jan-1995,tt0112572
402,Ghost (1990),01-Jan-1990,tt0099653
403,Batman (1989),01-Jan-1989,tt0096895
404,Pinocchio (1940),01-Jan-1940,tt0032910
405,Mission: Impossible (1996),22-May-1996,tt0117060
406,Thinner (1996),25-Oct-1996,tt0117894
407,Spy Hard (1996),24-May-1996,tt0117723
408,"Close Shave, A (1995)",28-Apr-1996,tt0112691
409,Jack (1996),07-Aug-1996,tt0116669
410,Kingpin (1996),12-Jul-1996,tt0116778
411,"Nutty Professor, The (1996)",28-Jun-1996,tt0117218
412,"Very Brady Sequel, A (1996)",23-Aug-1996,tt0118073
413,Tales from the Crypt Presents: Bordello of Blood (1996),19-Jul-1996,tt0117826
414,My Favorite Year (1982),01-Jan-1982,tt0084370
415,"Apple Dumpling Gang, The (1975)",01-Jan-1975,tt0072653
416,Old Yeller (1957),01-Jan-1957,tt0050798
417,"Parent Trap, The (1961)",01-Jan-1961,tt0055277
418,Cinderella (1950),01-Jan-1950,tt0042332
419,Mary Poppins (1964),01-Jan-1964,tt0058331
420,Alice in Wonderland (1951),01-Jan-1951,tt0043274
421,William Shakespeare's Romeo and Juliet (1996),25-Oct-1996,tt0117509
422,Aladdin and the King of Thieves (1996),01-Jan-1996,tt0115491
423,E.T. the Extra-Terrestrial (1982),01-Jan-1982,tt0083866
